port_code,year,metric,value,unit
TEMA,2014,vessel_calls,1504,calls
TEMA,2015,vessel_calls,1514,calls
TEMA,2016,vessel_calls,1521,calls
TEMA,2017,vessel_calls,1549,calls
TEMA,2018,vessel_calls,1520,calls
TEMA,2019,vessel_calls,1464,calls
TEMA,2020,vessel_calls,1639,calls
TEMA,2021,vessel_calls,1984,calls
TEMA,2022,vessel_calls,1679,calls
TEMA,2023,vessel_calls,1618,calls
TEMA,2024,vessel_calls,1736,calls
TAKORADI,2014,vessel_calls,1387,calls
TAKORADI,2015,vessel_calls,1525,calls
TAKORADI,2016,vessel_calls,1601,calls
TAKORADI,2017,vessel_calls,1626,calls
TAKORADI,2018,vessel_calls,1886,calls
TAKORADI,2019,vessel_calls,1628,calls
TAKORADI,2020,vessel_calls,1098,calls
TAKORADI,2021,vessel_calls,918,calls
TAKORADI,2022,vessel_calls,924,calls
TAKORADI,2023,vessel_calls,861,calls
TAKORADI,2024,vessel_calls,770,calls
TEMA,2014,cargo_tonnes,11126355,tonnes
TEMA,2015,cargo_tonnes,12145496,tonnes
TEMA,2016,cargo_tonnes,13414784,tonnes
TEMA,2017,cargo_tonnes,14045787,tonnes
TEMA,2018,cargo_tonnes,16594685,tonnes
TEMA,2019,cargo_tonnes,17316276,tonnes
TEMA,2020,cargo_tonnes,18909586,tonnes
TEMA,2021,cargo_tonnes,22529615,tonnes
TEMA,2022,cargo_tonnes,19688304,tonnes
TEMA,2023,cargo_tonnes,18649912,tonnes
TEMA,2024,cargo_tonnes,24343477,tonnes
TAKORADI,2014,cargo_tonnes,4749913,tonnes
TAKORADI,2015,cargo_tonnes,4699166,tonnes
TAKORADI,2016,cargo_tonnes,6045050,tonnes
TAKORADI,2017,cargo_tonnes,8040839,tonnes
TAKORADI,2018,cargo_tonnes,8917604,tonnes
TAKORADI,2019,cargo_tonnes,10384067,tonnes
TAKORADI,2020,cargo_tonnes,7476337,tonnes
TAKORADI,2021,cargo_tonnes,7559010,tonnes
TAKORADI,2022,cargo_tonnes,7344919,tonnes
TAKORADI,2023,cargo_tonnes,7579469,tonnes
TAKORADI,2024,cargo_tonnes,10500351,tonnes
TEMA,2014,export_tonnes,1463273,tonnes
TEMA,2015,export_tonnes,1303090,tonnes
TEMA,2016,export_tonnes,1633036,tonnes
TEMA,2017,export_tonnes,1646253,tonnes
TEMA,2018,export_tonnes,2344529,tonnes
TEMA,2019,export_tonnes,2524434,tonnes
TEMA,2020,export_tonnes,2458859,tonnes
TEMA,2021,export_tonnes,2508436,tonnes
TEMA,2022,export_tonnes,2175513,tonnes
TEMA,2023,export_tonnes,2114538,tonnes
TEMA,2024,export_tonnes,2131488,tonnes
TAKORADI,2014,export_tonnes,3025950,tonnes
TAKORADI,2015,export_tonnes,2836649,tonnes
TAKORADI,2016,export_tonnes,3731779,tonnes
TAKORADI,2017,export_tonnes,4817520,tonnes
TAKORADI,2018,export_tonnes,5670650,tonnes
TAKORADI,2019,export_tonnes,7476690,tonnes
TAKORADI,2020,export_tonnes,4389235,tonnes
TAKORADI,2021,export_tonnes,3956057,tonnes
TAKORADI,2022,export_tonnes,4181718,tonnes
TAKORADI,2023,export_tonnes,4792918,tonnes
TAKORADI,2024,export_tonnes,7292426,tonnes
TEMA,2014,import_tonnes,8922550,tonnes
TEMA,2015,import_tonnes,10043146,tonnes
TEMA,2016,import_tonnes,10890084,tonnes
TEMA,2017,import_tonnes,11327502,tonnes
TEMA,2018,import_tonnes,12983358,tonnes
TEMA,2019,import_tonnes,13484666,tonnes
TEMA,2020,import_tonnes,14671968,tonnes
TEMA,2021,import_tonnes,16213537,tonnes
TEMA,2022,import_tonnes,14259867,tonnes
TEMA,2023,import_tonnes,13493015,tonnes
TEMA,2024,import_tonnes,15778996,tonnes
TAKORADI,2014,import_tonnes,1653939,tonnes
TAKORADI,2015,import_tonnes,1746058,tonnes
TAKORADI,2016,import_tonnes,2188998,tonnes
TAKORADI,2017,import_tonnes,2964425,tonnes
TAKORADI,2018,import_tonnes,3057094,tonnes
TAKORADI,2019,import_tonnes,2763848,tonnes
TAKORADI,2020,import_tonnes,3002268,tonnes
TAKORADI,2021,import_tonnes,3579029,tonnes
TAKORADI,2022,import_tonnes,3135649,tonnes
TAKORADI,2023,import_tonnes,2766754,tonnes
TAKORADI,2024,import_tonnes,3144582,tonnes
TEMA,2014,transhipment_tonnes,163305,tonnes
TEMA,2015,transhipment_tonnes,76752,tonnes
TEMA,2016,transhipment_tonnes,29287,tonnes
TEMA,2017,transhipment_tonnes,3064,tonnes
TEMA,2018,transhipment_tonnes,15669,tonnes
TEMA,2019,transhipment_tonnes,44682,tonnes
TEMA,2020,transhipment_tonnes,323838,tonnes
TEMA,2021,transhipment_tonnes,2161721,tonnes
TEMA,2022,transhipment_tonnes,1598663,tonnes
TEMA,2023,transhipment_tonnes,1284787,tonnes
TEMA,2024,transhipment_tonnes,4423828,tonnes
TAKORADI,2014,transhipment_tonnes,34291,tonnes
TAKORADI,2015,transhipment_tonnes,52716,tonnes
TAKORADI,2016,transhipment_tonnes,42568,tonnes
TAKORADI,2017,transhipment_tonnes,53329,tonnes
TAKORADI,2018,transhipment_tonnes,52905,tonnes
TAKORADI,2019,transhipment_tonnes,42131,tonnes
TAKORADI,2020,transhipment_tonnes,42880,tonnes
TAKORADI,2021,transhipment_tonnes,20250,tonnes
TAKORADI,2022,transhipment_tonnes,21205,tonnes
TAKORADI,2023,transhipment_tonnes,17550,tonnes
TAKORADI,2024,transhipment_tonnes,12215,tonnes
TEMA,2014,transit_tonnes,577227,tonnes
TEMA,2015,transit_tonnes,722508,tonnes
TEMA,2016,transit_tonnes,862377,tonnes
TEMA,2017,transit_tonnes,1043771,tonnes
TEMA,2018,transit_tonnes,1251129,tonnes
TEMA,2019,transit_tonnes,1262494,tonnes
TEMA,2020,transit_tonnes,1454868,tonnes
TEMA,2021,transit_tonnes,1645921,tonnes
TEMA,2022,transit_tonnes,1598663,tonnes
TEMA,2023,transit_tonnes,1284787,tonnes
TEMA,2024,transit_tonnes,2009165,tonnes
TAKORADI,2014,transit_tonnes,32093,tonnes
TAKORADI,2015,transit_tonnes,60250,tonnes
TAKORADI,2016,transit_tonnes,81705,tonnes
TAKORADI,2017,transit_tonnes,205565,tonnes
TAKORADI,2018,transit_tonnes,136955,tonnes
TAKORADI,2019,transit_tonnes,101398,tonnes
TAKORADI,2020,transit_tonnes,41954,tonnes
TAKORADI,2021,transit_tonnes,3674,tonnes
TAKORADI,2022,transit_tonnes,21205,tonnes
TAKORADI,2023,transit_tonnes,17550,tonnes
TAKORADI,2024,transit_tonnes,51128,tonnes
TEMA,2014,container_teus,732382,TEUs
TEMA,2015,container_teus,782502,TEUs
TEMA,2016,container_teus,893841,TEUs
TEMA,2017,container_teus,956374,TEUs
TEMA,2018,container_teus,1007065,TEUs
TEMA,2019,container_teus,1000926,TEUs
TEMA,2020,container_teus,1248726,TEUs
TEMA,2021,container_teus,1519276,TEUs
TEMA,2022,container_teus,1205546,TEUs
TEMA,2023,container_teus,1190695,TEUs
TEMA,2024,container_teus,1668688,TEUs
TAKORADI,2014,container_teus,61355,TEUs
TAKORADI,2015,container_teus,58093,TEUs
TAKORADI,2016,container_teus,48622,TEUs
TAKORADI,2017,container_teus,53381,TEUs
TAKORADI,2018,container_teus,49720,TEUs
TAKORADI,2019,container_teus,47451,TEUs
TAKORADI,2020,container_teus,38343,TEUs
TAKORADI,2021,container_teus,42724,TEUs
TAKORADI,2022,container_teus,38699,TEUs
TAKORADI,2023,container_teus,35940,TEUs
TAKORADI,2024,container_teus,32558,TEUs
